No,Millis,Set Point,Proccess Variable,Manipulated Variable,Masukan Motor (%),Masukan Kompensator (%),Tachometer (%),Potensiometer (%)
1,3028269,55,0.00,39.44,57.60,39.44,0.00,30.11
2,3028509,55,41.41,9.74,36.82,9.74,41.41,53.96
3,3028749,55,16.00,27.97,49.58,27.97,16.00,4.01
4,3028989,55,29.50,18.28,42.80,18.28,29.50,27.86
5,3029229,55,18.66,26.05,48.24,26.05,18.66,54.55
6,3029469,55,27.55,19.68,43.78,19.68,27.55,75.27
7,3029709,55,20.62,24.65,47.26,24.65,20.62,2.83
8,3029949,55,25.77,20.96,44.67,20.96,25.77,29.62
9,3030189,55,20.97,24.40,47.08,24.40,20.97,50.73
10,3030429,55,25.42,21.21,44.85,21.21,25.42,53.47
11,3030669,55,22.57,23.25,46.28,23.25,22.57,0.00
12,3030909,55,24.35,21.98,45.38,21.98,24.35,24.54
13,3031149,55,22.22,23.51,46.45,23.51,22.22,48.19
14,3031389,55,24.53,21.85,45.29,21.85,24.53,65.98
15,3031629,55,23.28,22.74,45.92,22.74,23.28,96.29
16,3031869,55,23.64,22.49,45.74,22.49,23.64,16.32
17,3047526,55,0.00,100.00,100.00,100.00,0.00,16.03
18,3047766,55,97.75,-4.35,-33.05,-4.35,97.75,91.69
19,3048006,55,10.31,100.00,100.00,100.00,10.31,49.46
20,3048246,55,1.07,100.00,100.00,100.00,1.07,49.46
21,3048486,55,98.11,100.00,100.00,100.00,98.11,37.34
22,3048726,55,98.64,20.92,44.65,20.92,98.64,60.12
23,3048966,55,71.98,3.25,32.27,3.25,71.98,49.95
24,3049206,55,40.88,56.68,69.68,56.68,40.88,46.24
25,3049446,55,59.18,34.24,53.97,34.24,59.18,58.65
26,3049686,55,37.86,87.16,91.01,87.16,37.86,46.14
27,3049926,55,87.44,-19.70,-43.79,-19.70,87.44,38.32
28,3050166,55,9.42,100.00,100.00,100.00,9.42,85.73
29,3050406,55,1.07,100.00,100.00,100.00,1.07,85.83
30,3050646,55,97.93,96.17,97.32,96.17,97.93,59.04
31,3050886,55,95.80,8.69,36.08,8.69,95.80,90.13
32,3051126,55,69.67,-4.34,-33.03,-4.34,69.67,75.46
33,3051366,55,9.95,100.00,100.00,100.00,9.95,76.34
34,3051606,55,1.07,100.00,100.00,100.00,1.07,77.61
35,3051846,55,98.28,96.41,97.49,96.41,98.28,54.06
36,3052086,55,95.62,9.70,36.79,9.70,95.62,72.43
37,3052326,55,68.78,-0.86,-30.60,-0.86,68.78,69.21
38,3052566,55,9.95,100.00,100.00,100.00,9.95,67.35
39,3052806,55,1.07,100.00,100.00,100.00,1.07,68.52
40,3053046,55,97.75,100.00,100.00,100.00,97.75,48.09
41,3053286,55,99.00,3.87,32.71,3.87,99.00,71.16
42,3053526,55,71.63,-12.52,-38.76,-12.52,71.63,72.53
43,3053766,55,10.13,100.00,100.00,100.00,10.13,75.66
44,3054006,55,1.07,100.00,100.00,100.00,1.07,77.03
45,3054246,55,98.28,89.26,92.48,89.26,98.28,54.35
46,3054486,55,90.82,16.52,41.56,16.52,90.82,72.04
47,3054726,55,63.45,17.98,42.58,17.98,63.45,36.85
48,3054966,55,33.77,85.89,90.12,85.89,33.77,20.04
49,3055206,55,87.09,-22.90,-46.03,-22.90,87.09,77.13
50,3055446,55,9.24,100.00,100.00,100.00,9.24,45.55
51,3055686,55,1.07,100.00,100.00,100.00,1.07,45.75
52,3055926,55,97.75,93.61,95.52,93.61,97.75,21.70
53,3056166,55,94.37,10.13,37.09,10.13,94.37,49.07
54,3056406,55,67.54,2.28,31.60,2.28,67.54,26.10
55,3056646,55,36.79,64.38,75.06,64.38,36.79,16.81
56,3056886,55,66.83,16.73,41.71,16.73,66.83,40.27
57,3057126,55,39.10,71.58,80.11,71.58,39.10,41.15
58,3057366,55,74.11,4.42,33.09,4.42,74.11,69.70
59,3057606,55,45.50,45.95,62.17,45.95,45.50,0.10
60,3057846,55,49.59,54.80,68.36,54.80,49.59,69.11
61,3058086,55,58.12,41.79,59.25,41.79,58.12,96.97
62,3058326,55,45.14,72.73,80.91,72.73,45.14,61.88
63,3058566,55,74.82,7.89,35.52,7.89,74.82,34.80
64,3058806,55,47.28,44.77,61.34,44.77,47.28,51.81
65,3059046,55,46.92,62.66,73.86,62.66,46.92,34.31
66,3059286,55,65.23,27.04,48.93,27.04,65.23,51.71
67,3059526,55,36.61,87.97,91.58,87.97,36.61,55.03
68,3059766,55,88.69,-23.41,-46.39,-23.41,88.69,38.32
69,3060006,55,9.42,100.00,100.00,100.00,9.42,85.14
70,3060246,55,1.07,100.00,100.00,100.00,1.07,85.04
71,3060486,55,97.93,93.36,95.35,93.36,97.93,57.67
72,3060726,55,94.37,10.01,37.01,10.01,94.37,73.22
73,3060966,55,67.89,1.13,30.79,1.13,67.89,54.06
74,3061206,55,39.10,56.76,69.73,56.76,39.10,46.14
75,3061446,55,59.90,30.96,51.67,30.96,59.90,55.72
76,3061686,55,35.90,90.08,93.06,90.08,35.90,51.42
77,3061926,55,91.00,-28.53,-49.97,-28.53,91.00,41.74
78,3062166,55,9.60,100.00,100.00,100.00,9.60,91.30
79,3062406,55,1.07,100.00,100.00,100.00,1.07,91.40
80,3062646,55,97.93,89.52,92.67,89.52,97.93,68.82
81,3062886,55,90.46,17.56,42.29,17.56,90.46,71.95
82,3063126,55,65.05,14.10,39.87,14.10,65.05,47.61
83,3063366,55,36.26,75.94,83.16,75.94,36.26,33.53
84,3063606,55,78.91,-7.26,-35.08,-7.26,78.91,82.99
85,3063846,55,8.18,100.00,100.00,100.00,8.18,43.70
86,3064086,55,1.07,100.00,100.00,100.00,1.07,43.60
87,3064326,55,98.11,100.00,100.00,100.00,98.11,19.35
88,3064566,55,99.00,7.94,35.56,7.94,99.00,56.30
89,3064806,55,73.58,-14.13,-39.89,-14.13,73.58,47.90
90,3065046,55,11.02,100.00,100.00,100.00,11.02,65.30
91,3065286,55,1.24,100.00,100.00,100.00,1.24,67.55
92,3065526,55,98.28,86.74,90.72,86.74,98.28,42.23
93,3065766,55,87.44,23.82,46.68,23.82,87.44,52.00
94,3066006,55,61.67,28.00,49.60,28.00,61.67,14.47
95,3066246,55,34.48,92.55,94.78,92.55,34.48,91.59
96,3066486,55,93.31,-33.82,-53.68,-33.82,93.31,69.70
97,3066726,55,9.95,100.00,100.00,100.00,9.95,35.97
98,3066966,55,1.07,100.00,100.00,100.00,1.07,35.78
99,3067206,55,98.82,82.55,87.79,82.55,98.82,14.08
100,3067446,55,85.13,26.74,48.72,26.74,85.13,30.99
101,3067686,55,58.47,38.55,56.98,38.55,58.47,74.39
102,3067926,55,41.94,79.05,85.34,79.05,41.94,46.43
103,3068166,55,80.33,-4.14,-32.90,-4.14,80.33,27.17
104,3068406,55,8.71,100.00,100.00,100.00,8.71,68.23
105,3068646,55,0.89,100.00,100.00,100.00,0.89,68.23
106,3068886,55,98.46,100.00,100.00,100.00,98.46,47.02
107,3069126,55,99.17,10.02,37.01,10.02,99.17,73.41
108,3069366,55,73.40,-11.40,-37.98,-11.40,73.40,63.83
109,3069606,55,11.02,100.00,100.00,100.00,11.02,89.74
110,3069846,55,1.07,100.00,100.00,100.00,1.07,90.71
111,3070086,55,98.46,89.21,92.45,89.21,98.46,60.80
112,3070326,55,90.29,18.14,42.70,18.14,90.29,71.07
113,3070566,55,64.16,17.15,42.00,17.15,64.16,51.91
114,3070806,55,35.37,80.92,86.64,80.92,35.37,37.05
115,3071046,55,81.93,-11.71,-38.20,-11.71,81.93,0.39
116,3071286,55,8.89,100.00,100.00,100.00,8.89,53.27
117,3071526,55,0.89,100.00,100.00,100.00,0.89,52.69
118,3071766,55,98.64,99.63,99.74,99.63,98.64,38.42
119,3072006,55,99.17,2.84,31.99,2.84,99.17,68.04
120,3072246,55,73.58,-19.10,-43.37,-19.10,73.58,55.43
121,3072486,55,11.20,100.00,100.00,100.00,11.20,78.69
122,3072726,55,1.24,100.00,100.00,100.00,1.24,79.57
123,3072966,55,98.11,81.90,87.33,81.90,98.11,56.21
124,3073206,55,83.53,30.23,51.16,30.23,83.53,56.50
125,3073446,55,58.65,40.35,58.24,40.35,58.65,13.59
126,3073686,55,43.37,76.85,83.79,76.85,43.37,97.26
127,3073926,55,79.09,-1.70,-31.19,-1.70,79.09,51.03
128,3074166,55,8.18,100.00,100.00,100.00,8.18,4.79
129,3074406,55,0.89,100.00,100.00,100.00,0.89,4.79
130,3074646,55,98.64,100.00,100.00,100.00,98.64,70.97
131,3074886,55,99.00,12.86,39.00,12.86,99.00,21.11
132,3075126,55,74.82,-12.83,-38.98,-12.83,74.82,27.08
133,3075366,55,11.37,100.00,100.00,100.00,11.37,30.11
134,3075606,55,1.24,100.00,100.00,100.00,1.24,29.81
135,3075846,55,98.46,87.65,91.35,87.65,98.46,12.32
136,3076086,55,89.22,19.69,43.78,19.69,89.22,32.65
137,3076326,55,63.63,19.47,43.63,19.47,63.63,66.96
138,3076566,55,34.30,85.96,90.17,85.96,34.30,49.56
139,3076806,55,87.27,-22.96,-46.07,-22.96,87.27,42.91
140,3077046,55,9.24,100.00,100.00,100.00,9.24,93.55
141,3077286,55,1.07,100.00,100.00,100.00,1.07,93.65
142,3077526,55,97.93,93.16,95.21,93.16,97.93,70.58
143,3077766,55,93.66,11.88,38.32,11.88,93.66,94.92
144,3078006,55,68.78,-0.11,-30.07,-0.11,68.78,60.80
145,3078246,55,9.95,100.00,100.00,100.00,9.95,74.88
146,3078486,55,1.07,100.00,100.00,100.00,1.07,75.17
147,3078726,55,97.93,100.00,100.00,100.00,97.93,53.08
148,3078966,55,99.53,2.69,31.88,2.69,99.53,77.52
149,3079206,55,73.40,-18.48,-42.94,-18.48,73.40,87.39
150,3079446,55,11.20,100.00,100.00,100.00,11.20,0.00
151,3079686,55,1.42,100.00,100.00,100.00,1.42,0.88
152,3079926,55,98.46,80.97,86.68,80.97,98.46,69.70
153,3080166,55,83.71,29.04,50.33,29.04,83.71,82.11
154,3080406,55,57.05,43.94,60.76,43.94,57.05,29.52
155,3080646,55,47.28,67.90,77.53,67.90,47.28,18.96
