No,Millis,Set Point,Proccess Variable,Manipulated Variable,Masukan Motor (%),Masukan Kompensator (%),Tachometer (%),Potensiometer (%)
1,668552,55,0.00,58.29,70.80,58.29,0.00,82.80
2,668632,55,38.57,31.98,52.39,31.98,38.57,19.06
3,668712,55,39.99,34.82,54.38,34.82,39.99,79.86
4,668792,55,36.79,42.19,59.53,42.19,36.79,26.30
5,668872,55,39.63,44.00,60.80,44.00,39.63,85.24
6,668952,55,43.90,43.55,60.48,43.55,43.90,35.29
7,669032,55,43.90,46.48,62.54,46.48,43.90,8.90
8,669112,55,45.85,47.35,63.15,47.35,45.85,46.63
9,669192,55,47.63,47.89,63.52,47.89,47.63,21.41
10,669272,55,48.52,48.90,64.23,48.90,48.52,63.34
11,669352,55,49.76,49.30,64.51,49.30,49.76,40.37
12,669432,55,50.30,50.12,65.08,50.12,50.30,11.14
13,669512,55,51.01,50.61,65.43,50.61,51.01,65.88
14,669592,55,51.72,50.91,65.64,50.91,51.72,42.13
15,669672,55,51.19,52.35,66.64,52.35,51.19,5.57
16,669752,55,52.25,52.23,66.56,52.23,52.25,55.91
17,669832,55,53.14,52.01,66.41,52.01,53.14,39.20
18,669912,55,52.96,52.69,66.89,52.69,52.96,4.99
19,669992,55,53.85,52.29,66.60,52.29,53.85,72.34
20,670072,55,53.85,52.59,66.82,52.59,53.85,40.27
21,670152,55,52.96,53.84,67.69,53.84,52.96,6.16
22,670232,55,54.03,53.25,67.27,53.25,54.03,75.46
23,670312,55,54.39,53.13,67.19,53.13,54.39,37.15
24,670392,55,54.56,53.10,67.17,53.10,54.56,8.50
25,670472,55,54.21,53.60,67.52,53.60,54.21,59.34
26,670552,55,54.03,53.99,67.80,53.99,54.03,44.87
27,670632,55,54.74,53.50,67.45,53.50,54.74,12.71
28,670712,55,55.10,53.19,67.23,53.19,55.10,62.46
29,670792,55,54.21,54.11,67.87,54.11,54.21,46.24
30,670872,55,54.21,54.32,68.02,54.32,54.21,21.80
31,670952,55,54.74,53.96,67.77,53.96,54.74,64.71
32,671032,55,55.63,53.09,67.16,53.09,55.63,53.76
33,671112,55,54.21,54.43,68.10,54.43,54.21,20.23
