No,Millis,Set Point,Proccess Variable,Manipulated Variable,Masukan Motor (%),Masukan Kompensator (%),Tachometer (%),Potensiometer (%)
1,2934742,55,0.00,93.06,95.14,93.06,0.00,23.66
2,2934982,55,91.53,-61.81,-73.27,-61.81,91.53,73.22
3,2935222,55,9.60,76.82,83.77,76.82,9.60,38.91
4,2935462,55,0.89,91.56,94.09,91.56,0.89,38.91
5,2935702,55,91.00,-60.91,-72.64,-60.91,91.00,96.87
6,2935942,55,9.60,76.82,83.77,76.82,9.60,52.79
7,2936182,55,1.07,91.26,93.88,91.26,1.07,52.69
8,2936422,55,90.64,-60.31,-72.21,-60.31,90.64,24.93
9,2936662,55,9.42,77.12,83.99,77.12,9.42,66.76
10,2936902,55,0.89,91.56,94.09,91.56,0.89,66.67
11,2937142,55,90.29,-59.71,-71.79,-59.71,90.29,33.43
12,2937382,55,9.42,77.12,83.99,77.12,9.42,78.59
13,2937622,55,1.07,91.26,93.88,91.26,1.07,78.49
14,2937862,55,90.46,-60.01,-72.00,-60.01,90.46,40.37
15,2938102,55,9.42,77.12,83.99,77.12,9.42,88.47
16,2938342,55,1.07,91.26,93.88,91.26,1.07,88.56
17,2938582,55,91.00,-60.91,-72.64,-60.91,91.00,46.43
18,2938822,55,9.42,77.12,83.99,77.12,9.42,96.68
19,2939062,55,1.24,90.95,93.67,90.95,1.24,96.97
20,2939302,55,89.93,-59.10,-71.37,-59.10,89.93,52.88
21,2939542,55,9.42,77.12,83.99,77.12,9.42,7.62
22,2939782,55,0.89,91.56,94.09,91.56,0.89,7.62
23,2940022,55,91.18,-61.21,-72.85,-61.21,91.18,61.09
24,2940262,55,9.42,77.12,83.99,77.12,9.42,19.84
25,2940502,55,1.07,91.26,93.88,91.26,1.07,19.84
26,2940742,55,90.46,-60.01,-72.00,-60.01,90.46,67.64
27,2940982,55,9.60,76.82,83.77,76.82,9.60,31.87
28,2941222,55,0.89,91.56,94.09,91.56,0.89,31.87
29,2941462,55,91.53,-61.81,-73.27,-61.81,91.53,92.77
30,2941702,55,9.60,76.82,83.77,76.82,9.60,45.45
31,2941942,55,1.07,91.26,93.88,91.26,1.07,46.04
32,2942182,55,89.93,-59.10,-71.37,-59.10,89.93,8.02
33,2942422,55,9.42,77.12,83.99,77.12,9.42,56.21
34,2942662,55,0.89,91.56,94.09,91.56,0.89,57.28
35,2942902,55,91.53,-61.81,-73.27,-61.81,91.53,13.98
36,2943142,55,9.42,77.12,83.99,77.12,9.42,70.87
37,2943382,55,1.07,91.26,93.88,91.26,1.07,72.24
38,2943622,55,90.64,-60.31,-72.21,-60.31,90.64,29.33
39,2943862,55,9.42,77.12,83.99,77.12,9.42,83.48
40,2944102,55,1.07,91.26,93.88,91.26,1.07,83.38
41,2944342,55,90.64,-60.31,-72.21,-60.31,90.64,44.57
42,2944582,55,9.42,77.12,83.99,77.12,9.42,94.04
43,2944822,55,1.07,91.26,93.88,91.26,1.07,94.04
44,2945062,55,90.29,-59.71,-71.79,-59.71,90.29,52.30
45,2945302,55,9.42,77.12,83.99,77.12,9.42,3.81
46,2945542,55,0.89,91.56,94.09,91.56,0.89,3.71
47,2945782,55,91.35,-61.51,-73.06,-61.51,91.35,64.71
48,2946022,55,9.78,76.52,83.56,76.52,9.78,17.20
49,2946262,55,1.07,91.26,93.88,91.26,1.07,16.62
50,2946502,55,90.46,-60.01,-72.00,-60.01,90.46,67.45
51,2946742,55,9.42,77.12,83.99,77.12,9.42,29.42
52,2946982,55,1.07,91.26,93.88,91.26,1.07,29.13
53,2947222,55,91.18,-61.21,-72.85,-61.21,91.18,81.82
54,2947462,55,9.60,76.82,83.77,76.82,9.60,42.82
55,2947702,55,1.07,91.26,93.88,91.26,1.07,42.33
56,2947942,55,90.46,-60.01,-72.00,-60.01,90.46,0.29
57,2948182,55,9.60,76.82,83.77,76.82,9.60,55.43
58,2948422,55,1.07,91.26,93.88,91.26,1.07,54.84
59,2948662,55,91.35,-61.51,-73.06,-61.51,91.35,13.29
60,2948902,55,9.42,77.12,83.99,77.12,9.42,70.19
61,2949142,55,1.07,91.26,93.88,91.26,1.07,70.38
62,2949382,55,91.18,-61.21,-72.85,-61.21,91.18,37.24
63,2949622,55,9.60,76.82,83.77,76.82,9.60,82.21
64,2949862,55,1.07,91.26,93.88,91.26,1.07,82.31
65,2950102,55,90.82,-60.61,-72.43,-60.61,90.82,41.35
66,2950342,55,9.42,77.12,83.99,77.12,9.42,92.57
67,2950582,55,1.07,91.26,93.88,91.26,1.07,93.55
68,2950822,55,91.00,-60.91,-72.64,-60.91,91.00,50.83
69,2951062,55,9.42,77.12,83.99,77.12,9.42,2.83
70,2951302,55,1.07,91.26,93.88,91.26,1.07,2.74
71,2951542,55,90.82,-60.61,-72.43,-60.61,90.82,58.55
72,2951782,55,9.60,76.82,83.77,76.82,9.60,15.64
73,2952022,55,1.07,91.26,93.88,91.26,1.07,15.44
74,2952262,55,91.53,-61.81,-73.27,-61.81,91.53,77.71
75,2952502,55,9.60,76.82,83.77,76.82,9.60,29.42
