No,Millis,Set Point,Proccess Variable,Manipulated Variable,Masukan Motor (%),Masukan Kompensator (%),Tachometer (%),Potensiometer (%)
1,493086,55,0.00,99.46,99.62,99.46,0.00,7.53
2,493326,55,98.46,0.70,30.49,0.70,98.46,83.68
3,493566,55,72.69,-12.15,-38.51,-12.15,72.69,76.64
4,493806,55,10.13,72.94,81.06,72.94,10.13,78.79
5,494046,55,1.07,100.00,100.00,100.00,1.07,77.03
6,494286,55,97.57,58.84,71.19,58.84,97.57,49.66
7,494526,55,74.11,43.03,60.12,43.03,74.11,42.91
8,494766,55,48.16,59.92,71.94,59.92,48.16,45.45
9,495006,55,63.09,41.66,59.16,41.66,63.09,60.31
10,495246,55,44.97,63.17,74.22,63.17,44.97,52.98
11,495486,55,65.58,39.88,57.92,39.88,65.58,97.75
12,495726,55,44.08,64.10,74.87,64.10,44.08,96.87
13,495966,55,67.18,37.45,56.21,37.45,67.18,22.78
14,496206,55,43.01,64.23,74.96,64.23,43.01,26.00
15,496446,55,67.36,36.78,55.74,36.78,67.36,47.51
16,496686,55,42.66,64.33,75.03,64.33,42.66,42.82
17,496926,55,67.18,37.05,55.94,37.05,67.18,83.28
18,497166,55,43.19,63.60,74.52,63.60,43.19,62.17
19,497406,55,65.76,39.10,57.37,39.10,65.76,8.31
20,497646,55,44.43,62.84,73.99,62.84,44.43,14.47
21,497886,55,65.76,38.88,57.22,38.88,65.76,34.31
22,498126,55,42.66,65.77,76.04,65.77,42.66,29.13
23,498366,55,68.96,35.37,54.76,35.37,68.96,53.57
24,498606,55,43.19,62.57,73.80,62.57,43.19,51.32
25,498846,55,64.87,39.57,57.70,39.57,64.87,70.87
26,499086,55,43.90,63.95,74.77,63.95,43.90,65.79
27,499326,55,66.83,37.92,56.55,37.92,66.83,17.50
28,499566,55,42.48,65.55,75.89,65.55,42.48,13.49
29,499806,55,68.25,36.31,55.42,36.31,68.25,41.15
30,500046,55,42.30,64.87,75.41,64.87,42.30,38.32
31,500286,55,67.54,36.76,55.74,36.76,67.54,59.24
32,500526,55,42.83,64.10,74.87,64.10,42.83,56.21
33,500766,55,66.65,37.85,56.49,37.85,66.65,14.27
34,501006,55,43.54,63.54,74.48,63.54,43.54,9.68
35,501246,55,65.94,38.88,57.22,38.88,65.94,30.79
36,501486,55,43.01,65.24,75.67,65.24,43.01,26.10
37,501726,55,68.07,36.57,55.60,36.57,68.07,49.36
38,501966,55,43.01,63.75,74.62,63.75,43.01,52.20
39,502206,55,66.29,38.17,56.72,38.17,66.29,77.81
40,502446,55,43.19,64.36,75.06,64.36,43.19,62.95
41,502686,55,66.47,38.63,57.04,38.63,66.47,11.14
42,502926,55,43.90,63.60,74.52,63.60,43.90,12.71
