No,Millis,Set Point,Proccess Variable,Manipulated Variable,Masukan Motor (%),Masukan Kompensator (%),Tachometer (%),Potensiometer (%)
1,99195,55,0.00,37.15,56.01,37.15,0.00,92.18
2,99275,55,23.28,44.83,61.38,44.83,23.28,15.25
3,99355,55,41.77,45.84,62.09,45.84,41.77,73.61
4,99435,55,46.57,48.23,63.76,48.23,46.57,29.72
5,99515,55,49.94,49.54,64.68,49.54,49.94,98.24
6,99595,55,52.08,50.25,65.17,50.25,52.08,48.48
7,99675,55,52.43,51.25,65.88,51.25,52.43,26.20
8,99755,55,53.32,51.75,66.22,51.75,53.32,93.65
9,99835,55,54.03,51.98,66.39,51.98,54.03,49.36
10,99915,55,54.74,51.91,66.34,51.91,54.74,28.54
11,99995,55,55.10,51.78,66.25,51.78,55.10,96.09
12,100075,55,54.56,52.10,66.47,52.10,54.56,50.73
13,100155,55,54.03,52.65,66.85,52.65,54.03,31.57
14,100235,55,55.63,51.98,66.39,51.98,55.63,11.05
15,100315,55,55.45,51.83,66.28,51.83,55.45,53.57
16,100395,55,54.03,52.60,66.82,52.60,54.03,32.65
17,100475,55,54.92,52.41,66.69,52.41,54.92,3.42
18,100555,55,55.81,51.85,66.29,51.85,55.81,55.82
19,100635,55,54.92,52.10,66.47,52.10,54.92,40.76
20,100715,55,54.39,52.50,66.75,52.50,54.39,16.03
21,100795,55,55.10,52.28,66.60,52.28,55.10,77.81
22,100875,55,55.10,52.24,66.57,52.24,55.10,38.42
23,100955,55,55.10,52.20,66.54,52.20,55.10,18.28
24,101035,55,54.74,52.40,66.68,52.40,54.74,75.86
25,101115,55,54.92,52.39,66.67,52.39,54.92,41.64
26,101195,55,55.63,51.94,66.36,51.94,55.63,21.60
27,101275,55,55.27,51.91,66.34,51.91,55.27,64.81
28,101355,55,54.03,52.64,66.85,52.64,54.03,43.50
29,101435,55,54.92,52.45,66.72,52.45,54.92,19.84
30,101515,55,55.45,52.13,66.49,52.13,55.45,67.64
31,101595,55,55.10,52.17,66.52,52.17,55.10,46.04
32,101675,55,54.39,52.61,66.83,52.61,54.39,24.93
33,101755,55,55.27,52.27,66.59,52.27,55.27,95.01
34,101835,55,55.45,52.04,66.43,52.04,55.45,49.27
35,101915,55,54.74,52.32,66.63,52.32,54.74,28.64
36,101995,55,54.56,52.55,66.79,52.55,54.56,98.24
37,102075,55,55.27,52.26,66.58,52.26,55.27,50.93
38,102155,55,55.27,52.14,66.50,52.14,55.27,31.09
39,102235,55,55.10,52.15,66.50,52.15,55.10,2.83
40,102315,55,54.92,52.23,66.56,52.23,54.92,54.45
41,102395,55,54.74,52.38,66.67,52.38,54.74,34.31
42,102475,55,55.63,51.89,66.32,51.89,55.63,5.18
43,102555,55,54.56,52.34,66.64,52.34,54.56,56.60
44,102635,55,54.21,52.77,66.94,52.77,54.21,36.36
45,102715,55,55.10,52.51,66.75,52.51,55.10,16.62
46,102795,55,55.99,51.86,66.31,51.86,55.99,59.34
47,102875,55,54.56,52.41,66.68,52.41,54.56,43.11
48,102955,55,54.74,52.47,66.73,52.47,54.74,12.81
49,103035,55,55.27,52.22,66.56,52.22,55.27,62.95
50,103115,55,55.27,52.11,66.47,52.11,55.27,42.52
51,103195,55,54.92,52.23,66.56,52.23,54.92,21.70
52,103275,55,54.74,52.38,66.67,52.38,54.74,65.59
53,103355,55,55.27,52.13,66.49,52.13,55.27,44.57
54,103435,55,55.10,52.14,66.50,52.14,55.10,22.29
55,103515,55,54.74,52.34,66.64,52.34,54.74,85.63
56,103595,55,54.56,52.57,66.80,52.57,54.56,45.45
57,103675,55,55.45,52.15,66.51,52.15,55.45,26.20
58,103755,55,55.45,51.96,66.37,51.96,55.45,71.26
59,103835,55,54.74,52.25,66.57,52.25,54.74,63.15
60,103915,55,54.03,52.84,66.99,52.84,54.03,29.33
61,103995,55,55.45,52.29,66.60,52.29,55.45,63.05
62,104075,55,55.81,51.86,66.30,51.86,55.81,65.59
63,104155,55,54.39,52.47,66.73,52.47,54.39,31.57
64,104235,55,54.56,52.62,66.83,52.62,54.56,1.37
65,104315,55,55.81,51.96,66.37,51.96,55.81,56.99
66,104395,55,54.74,52.34,66.64,52.34,54.74,33.63
67,104475,55,54.56,52.57,66.80,52.57,54.56,4.20
68,104555,55,54.92,52.51,66.76,52.51,54.92,55.72
69,104635,55,54.39,52.91,67.04,52.91,54.39,36.07
70,104715,55,55.63,52.33,66.63,52.33,55.63,15.64
71,104795,55,55.81,51.94,66.36,51.94,55.81,57.67
72,104875,55,54.39,52.56,66.79,52.56,54.39,37.73
73,104955,55,54.39,52.82,66.97,52.82,54.39,17.60
74,105035,55,55.81,52.12,66.49,52.12,55.81,81.33
75,105115,55,54.92,52.38,66.66,52.38,54.92,40.18
76,105195,55,54.74,52.53,66.77,52.53,54.74,19.84
77,105275,55,54.92,52.52,66.77,52.52,54.92,73.90
78,105355,55,55.27,52.32,66.62,52.32,55.27,42.82
79,105435,55,55.27,52.20,66.54,52.20,55.27,22.09
80,105515,55,54.92,52.32,66.63,52.32,54.92,80.94
81,105595,55,54.21,52.84,66.99,52.84,54.21,45.94
82,105675,55,54.92,52.70,66.89,52.70,54.92,21.31
83,105755,55,56.16,51.89,66.32,51.89,56.16,67.84
84,105835,55,54.39,52.60,66.82,52.60,54.39,46.04
85,105915,55,54.21,52.98,67.08,52.98,54.21,25.71
86,105995,55,54.92,52.83,66.98,52.83,54.92,69.40
87,106075,55,55.45,52.51,66.76,52.51,55.45,47.70
88,106155,55,55.27,52.44,66.71,52.44,55.27,26.78
89,106235,55,54.92,52.56,66.79,52.56,54.92,71.65
90,106315,55,54.74,52.71,66.90,52.71,54.74,49.17
91,106395,55,54.92,52.71,66.89,52.71,54.92,30.99
92,106475,55,55.63,52.26,66.58,52.26,55.63,64.32
93,106555,55,55.10,52.35,66.65,52.35,55.10,66.57
94,106635,55,54.39,52.79,66.95,52.79,54.39,31.38
95,106715,55,55.27,52.45,66.72,52.45,55.27,0.00
96,106795,55,55.45,52.22,66.55,52.22,55.45,54.84
97,106875,55,54.39,52.74,66.92,52.74,54.39,34.41
98,106955,55,54.74,52.76,66.94,52.76,54.74,13.78
99,107035,55,55.45,52.39,66.68,52.39,55.45,56.50
100,107115,55,55.27,52.32,66.63,52.32,55.27,36.66
101,107195,55,55.10,52.33,66.63,52.33,55.10,16.32
102,107275,55,55.10,52.29,66.60,52.29,55.10,58.94
103,107355,55,54.39,52.72,66.91,52.72,54.39,38.12
104,107435,55,55.63,52.15,66.50,52.15,55.63,17.99
105,107515,55,55.27,52.12,66.48,52.12,55.27,61.00
106,107595,55,54.21,52.72,66.90,52.72,54.21,40.86
107,107675,55,54.74,52.70,66.89,52.70,54.74,19.94
108,107755,55,55.81,52.09,66.46,52.09,55.81,84.56
109,107835,55,54.92,52.34,66.64,52.34,54.92,52.10
110,107915,55,54.56,52.62,66.83,52.62,54.56,17.69
111,107995,55,54.92,52.57,66.80,52.57,54.92,66.18
112,108075,55,55.10,52.48,66.74,52.48,55.10,44.97
113,108155,55,55.45,52.20,66.54,52.20,55.45,22.29
114,108235,55,54.56,52.61,66.82,52.61,54.56,86.41
115,108315,55,54.39,52.91,67.04,52.91,54.39,58.85
116,108395,55,55.27,52.57,66.80,52.57,55.27,26.88
117,108475,55,55.99,51.98,66.38,51.98,55.99,71.36
118,108555,55,54.74,52.40,66.68,52.40,54.74,48.88
119,108635,55,54.21,52.87,67.01,52.87,54.21,29.03
120,108715,55,55.27,52.49,66.74,52.49,55.27,95.41
121,108795,55,55.81,52.01,66.41,52.01,55.81,67.25
122,108875,55,54.56,52.51,66.75,52.51,54.56,31.38
123,108955,55,54.56,52.69,66.88,52.69,54.56,0.00
124,109035,55,55.10,52.52,66.76,52.52,55.10,56.21
125,109115,55,55.45,52.24,66.56,52.24,55.45,33.72
126,109195,55,55.10,52.28,66.60,52.28,55.10,3.52
127,109275,55,54.92,52.36,66.65,52.36,54.92,57.09
128,109355,55,54.21,52.88,67.01,52.88,54.21,40.47
129,109435,55,55.63,52.25,66.58,52.25,55.63,16.13
130,109515,55,55.45,52.11,66.47,52.11,55.45,75.86
131,109595,55,54.39,52.63,66.84,52.63,54.39,38.81
132,109675,55,55.10,52.42,66.69,52.42,55.10,11.14
133,109755,55,55.81,51.89,66.33,51.89,55.81,81.52
134,109835,55,54.74,52.27,66.59,52.27,54.74,40.76
135,109915,55,54.39,52.62,66.83,52.62,54.39,13.78
136,109995,55,54.92,52.52,66.77,52.52,54.92,63.44
137,110075,55,55.10,52.44,66.71,52.44,55.10,52.30
138,110155,55,55.27,52.28,66.59,52.28,55.27,22.78
139,110235,55,54.74,52.52,66.76,52.52,54.74,81.13
140,110315,55,54.92,52.51,66.76,52.51,54.92,45.06
141,110395,55,55.81,51.94,66.36,51.94,55.81,25.12
142,110475,55,55.10,52.08,66.46,52.08,55.10,68.23
143,110555,55,54.56,52.40,66.68,52.40,54.56,46.82
144,110635,55,54.21,52.83,66.98,52.83,54.21,26.10
145,110715,55,55.45,52.32,66.63,52.32,55.45,98.34
146,110795,55,55.81,51.89,66.32,51.89,55.81,60.41
147,110875,55,54.39,52.51,66.76,52.51,54.39,29.23
148,110955,55,54.74,52.53,66.77,52.53,54.74,97.46
149,111035,55,55.45,52.16,66.51,52.16,55.45,67.45
150,111115,55,55.10,52.21,66.54,52.21,55.10,30.99
151,111195,55,55.10,52.17,66.52,52.17,55.10,0.10
152,111275,55,54.74,52.36,66.66,52.36,54.74,70.38
153,111355,55,54.92,52.35,66.65,52.35,54.92,34.02
154,111435,55,55.45,52.03,66.42,52.03,55.45,4.01
155,111515,55,54.74,52.32,66.62,52.32,54.74,73.51
156,111595,55,54.39,52.67,66.87,52.67,54.39,35.97
157,111675,55,55.45,52.21,66.55,52.21,55.45,16.32
158,111755,55,55.63,51.90,66.33,51.90,55.63,78.30
159,111835,55,54.56,52.35,66.64,52.35,54.56,42.72
160,111915,55,54.92,52.29,66.61,52.29,54.92,16.32
161,111995,55,55.10,52.21,66.55,52.21,55.10,60.12
162,112075,55,55.10,52.17,66.52,52.17,55.10,39.49
163,112155,55,55.10,52.13,66.49,52.13,55.10,14.96
164,112235,55,54.39,52.57,66.80,52.57,54.39,62.76
165,112315,55,54.74,52.59,66.81,52.59,54.74,43.50
166,112395,55,55.45,52.22,66.55,52.22,55.45,22.58
167,112475,55,55.27,52.15,66.50,52.15,55.27,64.71
168,112555,55,54.39,52.63,66.84,52.63,54.39,43.01
169,112635,55,54.74,52.65,66.86,52.65,54.74,24.93
170,112715,55,55.63,52.16,66.51,52.16,55.63,93.45
171,112795,55,55.45,52.01,66.41,52.01,55.45,47.80
172,112875,55,54.21,52.66,66.86,52.66,54.21,26.39
173,112955,55,55.10,52.40,66.68,52.40,55.10,97.17
174,113035,55,55.10,52.36,66.65,52.36,55.10,47.51
175,113115,55,55.27,52.20,66.54,52.20,55.27,29.03
176,113195,55,54.92,52.32,66.62,52.32,54.92,93.26
177,113275,55,54.56,52.59,66.82,52.59,54.56,51.32
178,113355,55,54.92,52.54,66.78,52.54,54.92,34.21
