No,Millis,Set Point,Proccess Variable,Manipulated Variable,Masukan Motor (%),Masukan Kompensator (%),Tachometer (%),Potensiometer (%)
1,208717,55,0.00,13.75,39.63,13.75,0.00,85.34
2,208957,55,12.26,10.68,37.48,10.68,12.26,62.17
3,209197,55,9.95,11.26,37.88,11.26,9.95,51.12
4,209437,55,9.78,11.31,37.91,11.31,9.78,39.78
5,209677,55,9.78,11.31,37.91,11.31,9.78,28.64
6,209917,55,10.13,11.22,37.85,11.22,10.13,13.49
7,210157,55,9.78,11.31,37.91,11.31,9.78,7.72
8,210397,55,10.66,11.08,37.76,11.08,10.66,58.36
9,210637,55,9.78,11.31,37.91,11.31,9.78,60.02
10,210877,55,10.49,11.13,37.79,11.13,10.49,51.03
11,211117,55,10.31,11.17,37.82,11.17,10.31,67.06
12,211357,55,10.13,11.22,37.85,11.22,10.13,35.97
13,211597,55,9.78,11.31,37.91,11.31,9.78,33.33
14,211837,55,9.60,11.35,37.95,11.35,9.60,28.35
15,212077,55,9.78,11.31,37.91,11.31,9.78,19.75
16,212317,55,9.95,11.26,37.88,11.26,9.95,9.29
17,212557,55,10.13,11.22,37.85,11.22,10.13,0.00
18,212797,55,9.95,11.26,37.88,11.26,9.95,91.40
19,213037,55,10.49,11.13,37.79,11.13,10.49,50.83
20,213277,55,10.13,11.22,37.85,11.22,10.13,43.40
21,213517,55,10.13,11.22,37.85,11.22,10.13,36.46
22,213757,55,10.13,11.22,37.85,11.22,10.13,43.21
23,213997,55,9.78,11.31,37.91,11.31,9.78,31.87
24,214237,55,10.13,11.22,37.85,11.22,10.13,21.31
25,214477,55,9.78,11.31,37.91,11.31,9.78,9.48
26,214717,55,10.13,11.22,37.85,11.22,10.13,0.88
27,214957,55,10.31,11.17,37.82,11.17,10.31,94.43
28,215197,55,10.13,11.22,37.85,11.22,10.13,58.06
29,215437,55,11.02,11.00,37.70,11.00,11.02,66.67
30,215677,55,10.13,11.22,37.85,11.22,10.13,50.54
31,215917,55,10.31,11.17,37.82,11.17,10.31,49.66
